Department,How would you rate your onboarding experience at UNC Health Blueridge?,"What, if anything, might you suggest being added or changed to the system onboarding process that might benefit other new employees?"
Table Rock Family Medicine,5, 
UNCBR Behavioral Health,5,"None, it’s been wonderful. "
Patient Care Coordinator ,5,nothing to date
Float Pool,5,The check-off lists could be updated- they're a bit redundant and if you're trained in multiple areas of the hospital many of the items for sign off are duplicated. They also include many interventions that aren't even performed at this facility.   
Security,5,The presentation as a whole was perfect.
Case Management,5,N/A
Hickory Pain Management ,5,nothing 
Womens Health Group,5,N/A
Carolina Digestive Care,5,An appointment for a one on one for benefits so that we can have individual questions answered and help understanding the benefits.
Case Management,5,I can't think of anything.
Internal Medicine ,5,More time to learn Epic
Laboratory ,5,I think it would be beneficial to fill out all of the paperwork for employees that qualify for benefits at orientation. 
Float Pool ,4,"I think the classes are good, but is very lengthy, and probably not entirely needed. We had a 45 minute lesson on handwashing. I know its important, but 45 minutes... "
Security,5,Nothing
Access Management,4,I would add a hospital tour for all new employees.
Float Pool,5,Nothing at this time. Everyone has been great. 
Lab,4, 
Pain Management,5,Maybe add computer training to gain access before being turned loose to your department
Blue Ridge Digestive Health ,5,N/A
Emergency ,5,I think trying to cluster classes better so once your in the groove of working your not taking out of it every other week 
Foundation ,5,I thought the onboarding process was educational and very helpful. 
Patient Financial Services,5,NA
SPD,5,N/A
SPD,5,
Urgent Care/ Express Clinic,5,There is nothing at this time that I think needs to be added or changed for the onboarding process.
lenoir family medicine,5,
Pain management,4,I would suggest more EPIC training according to our offices
Grace Ridge Admin.,5,
Patient Care Cordinator,5,n/a
Preop/PACU,5,No changes
Cardiopulmonary Rehab,5,na
Pulmonary PCC,5,
Health Information Mgt.,5,na
Family Center,4,Hospital and parking tour
Payroll,5,Nothing onboarding was a great process
Table Rock Family Medicine,5,In person EPIC training
Pharmacy,5,"Due to the amount of information given on orientation day, perhaps a quick-tip card on clocking in and out."
Emergency ,5,none
 ,5, 
Revenue Cycle,4,Better explanation of the moving expenses and how you will be taxed that amount.
access management,5,nothing
Mcdowell medical associates express care ,5,n/a
ED BH Hall,5, 
Valdese Radiation Oncology,5,"when with UNC facilities and transferring from one facility to the other, it would be simple and nice if your HR would be able to gather information such as immunizations, etc for that employee!"
Valdese Cancer Center,5,N/A
ICU,5,n/a
Surgical Services ,5, 
express care marion,5,"honestly, I really can't. think of anything. The training has been really good  ."
Phlebotomy,4,we watched a video with the attorney and to be honest it would have been more interesting if we would have been able to interact with him ourselves instead of watching him interact with the people in the video 
Security,5,Going over the process to request items as well as the roll of movers in all of this.
Security,4,none
Patient Care Coordinator,5,More time getting to know the leaders other than Orientation
Pain Management-Hickory,5, 
Float Pool,5,
Carolina Digestive Care,4,everything was good!
med surg,4,
Cardiac,5,Nothing
MMA nebo,5,
Access management,4,The module on the Census was the last one I did.  It would have been helpful had I done it first.
Physician Practice Management,5,N/A
Registrar,5,"Have more one on one time explaining how to use the ADP portal and other resources that are used for UNC, especially during open enrollment, etc."
Mcdowell Express care,5,
Family Center,5, 
Cajahs mtn medical,5,I love it so far! 
SURGICAL SERVICES ,5, 
Family center,5,Making the process more interactive so it doesn't necessarily feel like a school setting
Med/Surge,3, 
Pharmacy,5,Onboarding process was very simple and stress free. 
Materials Mgmt,5, 
Respiratory ,5,
Radiology-Call Center,5,Real scenarios would help with the process
Business Development,5,Everything went smoothly and all the information and instructions were helpful during the onboarding process.
Maintenance Grace Ridge,5,Having to do online training that is not relevant to my job.
Float Pool ,2,"During hospital orientation the presentation regarding benefits was the most rushed through thing compared to all the other speakers and presentations that we sat through that day. I consider that to be one of the most important things as a full time employee and I didn't not take anything away from the presentation. I would suggest slowing down and actually going through the benefit options so that the new staff can be fully informed and prepared to make the best and most beneficial decision when enrolling in benefits. Also, no one showed me where to find or how to view my pay stub. "
Valdese Medical Associates ,5,Session online or in person regarding coding and billing if provider is new to primary care. 
Morganton Internal Medicine,4,
Surgical Services,5, 
Rehabilitation Services,5,I think Adding a Day or two to the Week of Orientation would help you be able to Watch the Modules that are assigned to you to watch by a certain date. I had 26 modules to watch. Once you get to be on your job it is a lot of training and no time to watch the modules. Even if you add just one day to help with that would be very beneficial.
Behavioral Health,5,Nne
Float pool,4,No suggestion 
ICU,5,Allow time during orientation to sign up for benefits 
Cancer Center Valdese,5,"More hands on training for PICC, IV and Port Access"
